Iteration_Step	Fidelity_BO	alpha_norm	th_W_ratio_norm	alpha_actual	th_W_ratio_actual	Objective_Negated	Objective_Actual	Execution_Time_s
Initial	0.0	0.31876303409142576	0.6607442293912191	2.785979860797134	0.006946698064520973	-39.2594996391128	39.2594996391128	239.56154036521912
Initial	0.0	0.27193525209077224	0.352614568073299	2.6337895692950095	0.004173531112659692	-12.756931177282908	12.756931177282908	171.1731231212616
Initial	1.0	0.7110284940850977	0.7489668767615094	4.060842605776568	0.007740701890853585	-0.0003166139221775694	0.0003166139221775694	1024.187306880951
Initial	1.0	0.7265126162532936	0.0633926012494091	4.111166002823204	0.001570533411244682	-0.017188227938936866	0.017188227938936866	662.4810354709625
Initial	1.0	0.3576972502068329	0.8917089888957137	2.912516063172207	0.009025380900061424	-0.00028399227853993596	0.00028399227853993596	638.9308042526245
Iter_1	0.0	0.9737815528856296	0.9645128194455882	4.914790046878297	0.009680615375010294	-143.51411403206703	143.51411403206703	789.3418593406677
Iter_2	0.0	0.15513851431556303	0.34583211218296084	2.25420017152558	0.0041124890096466485	-9.681317842483958	9.681317842483958	109.34195351600647
Iter_3	0.0	0.0959918609052352	0.07376221301145422	2.0619735479420145	0.001663859917103088	-1.6079716034839189	1.6079716034839189	63.91337966918945
Iter_4	0.0	0.73411675606878	0.23727747175098518	4.135879457223535	0.003135497245758867	-15.292457262136065	15.292457262136065	239.92865872383118
Iter_5	0.0	0.5471527536994163	0.3073469399845909	3.528246449523103	0.0037661224598613185	-18.73855147764889	18.73855147764889	247.3590953350067
Iter_6	0.0	0.02735762961798439	0.5505354020656857	1.8389122962584492	0.005954818618591172	-26.138834134442472	26.138834134442472	137.01782369613647
Iter_7	0.0	0.0014647129016499792	0.2765599044188994	1.7547603169303625	0.0034890391397700946	-11.889692733181551	11.889692733181551	90.25259923934937
Iter_8	0.0	0.718921794071315	0.06746284032361545	4.086495830731774	0.001607165562912539	-4.009506564726478	4.009506564726478	126.84758400917053
Recommendation_Model	1.0	0.24724761419294627	0.5509031624003208	2.5535547461270753	0.005958128461602888	-0.0015657450057594217	0.00015657450057594217	436.75788044929504
