Iteration_Step,Fidelity_BO,alpha_norm,th_w_ratio_norm,alpha_actual,th_w_ratio_actual,Objective_BO,Objective_Actual,Execution_Time_s
Initial,0.0,0.17333407934464817,0.24033410448851447,1.6933363173785927,2479.3076344362935,-10000000000.0,-10000000000.0,0.0005478858947753906
Initial,0.0,0.620054075101798,0.4155247208605447,3.480216300407192,4213.694736519393,-10000000000.0,-10000000000.0,0.0003597736358642578
Initial,0.0,0.41362344129093576,0.8436312337382686,2.654493765163743,8451.94921400886,-10000000000.0,-10000000000.0,0.0003402233123779297
Initial,0.0,0.9415801449054804,0.7185590193050657,4.7663205796219215,7213.73429112015,-10000000000.0,-10000000000.0,0.0003173351287841797
Initial,0.0,0.3696088922273935,0.9760889328289579,2.478435568909574,9763.280435006684,-10000000000.0,-10000000000.0,0.0003082752227783203
Initial,0.0,0.7791145329868736,0.6781861186275326,4.116458131947494,6814.042574412573,-10000000000.0,-10000000000.0,0.0003101825714111328
Initial,0.0,0.5050143213586994,0.5804518837855406,3.0200572854347976,5846.473649476851,-10000000000.0,-10000000000.0,0.0003044605255126953
Initial,0.0,0.011789348563412938,0.11741964870699087,1.0471573942536518,1262.4545221992096,-10000000000.0,-10000000000.0,0.0003058910369873047
Initial,0.0,0.8179852156245154,0.0020529404193961654,4.271940862498061,120.32411015202203,-10000000000.0,-10000000000.0,0.00034499168395996094
Initial,0.0,0.22225344705790842,0.3912682641940482,1.8890137882316336,3973.555815521077,-10000000000.0,-10000000000.0,0.000331878662109375
Initial,1.0,0.7791145329868736,0.6781861186275326,4.116458131947494,6814.042574412573,10000000000.0,-10000000000.0,0.0004067420959472656
Initial,1.0,0.011789348563412938,0.11741964870699087,1.0471573942536518,1262.4545221992096,10000000000.0,-10000000000.0,0.00031948089599609375
Initial,1.0,0.620054075101798,0.4155247208605447,3.480216300407192,4213.694736519393,10000000000.0,-10000000000.0,0.00032401084899902344
Initial,1.0,0.9415801449054804,0.7185590193050657,4.7663205796219215,7213.73429112015,10000000000.0,-10000000000.0,0.0003840923309326172
Initial,1.0,0.22225344705790842,0.3912682641940482,1.8890137882316336,3973.555815521077,10000000000.0,-10000000000.0,0.0003287792205810547
Iter_1,1.0,0.003443572940336556,0.963157564196301,1.0137742917613461,9635.25988554338,10000000000.0,-10000000000.0,0.0006754398345947266
Iter_2,1.0,0.9405196763638801,0.9940328909475121,4.7620787054555205,9940.92562038037,10000000000.0,-10000000000.0,0.0006756782531738281
Iter_3,1.0,0.31513379371222694,0.0,2.2605351748489078,100.0,10000000000.0,-10000000000.0,0.000827789306640625
Iter_4,1.0,0.9657396215901048,0.0,4.862958486360419,100.0,10000000000.0,-10000000000.0,0.0007491111755371094
Iter_5,0.0,0.0,0.6080351671233892,1.0,6119.548154521553,-10000000000.0,-10000000000.0,0.0006957054138183594
Iter_6,1.0,0.2785682213157877,0.7533537311704844,2.1142728852631505,7558.201938587796,10000000000.0,-10000000000.0,0.0007784366607666016
Iter_7,1.0,0.6116193087013038,1.0,3.446477234805215,10000.0,10000000000.0,-10000000000.0,0.0007617473602294922
Iter_8,1.0,0.6414197703444912,0.1174730349904044,3.5656790813779646,1262.9830464050035,10000000000.0,-10000000000.0,0.0007600784301757812
Iter_9,1.0,1.0,0.3253159931762526,5.0,3320.6283324449005,10000000000.0,-10000000000.0,0.0007762908935546875
Iter_10,1.0,0.4030242506597714,0.2093654576576088,2.6120970026390857,2172.718030810327,10000000000.0,-10000000000.0,0.0007827281951904297
Iter_11,1.0,0.5472030423988887,0.7345431812040962,3.188812169595555,7371.977493920553,10000000000.0,-10000000000.0,0.0008721351623535156
Iter_12,1.0,0.0,0.4776923991512307,1.0,4829.154751597183,10000000000.0,-10000000000.0,0.0008523464202880859
Iter_13,1.0,0.8245258384529636,0.28313211599333404,4.298103353811854,2903.007948334007,10000000000.0,-10000000000.0,0.0007212162017822266
Iter_14,1.0,0.2884624888791541,0.5670005380701724,2.153849955516616,5713.305326894706,10000000000.0,-10000000000.0,0.0008420944213867188
Iter_15,1.0,0.3859086354759101,0.2761016833322877,2.54363454190364,2833.406664989648,10000000000.0,-10000000000.0,0.0008270740509033203
Iter_16,1.0,0.7968452543440041,0.5028652592459788,4.187381017376016,5078.36606653519,10000000000.0,-10000000000.0,0.0008795261383056641
Iter_17,1.0,0.6188414596325326,0.0,3.4753658385301303,100.0,10000000000.0,-10000000000.0,0.0007660388946533203
Iter_18,1.0,0.5664050825002236,0.6180130389725739,3.2656203300008944,6218.329085828481,10000000000.0,-10000000000.0,0.0008873939514160156
Iter_19,1.0,0.0,0.7529602601057994,1.0,7554.306575047414,10000000000.0,-10000000000.0,0.0008757114410400391
Iter_20,1.0,0.23355151113303774,1.0,1.934206044532151,10000.0,10000000000.0,-10000000000.0,0.0008432865142822266
Iter_21,1.0,0.1700443649914136,0.7313486305310407,1.6801774599656545,7340.3514422573035,10000000000.0,-10000000000.0,0.0008382797241210938
Iter_22,1.0,0.7539211119700978,1.0,4.015684447880391,10000.0,10000000000.0,-10000000000.0,0.0008552074432373047
Iter_23,1.0,0.0,0.30775459218420936,1.0,3146.7704626236728,10000000000.0,-10000000000.0,0.000865936279296875
Iter_24,1.0,0.0,0.0,1.0,100.0,10000000000.0,-10000000000.0,0.0008807182312011719
Iter_25,1.0,0.7674031184940651,0.2231963892323033,4.06961247397626,2309.644253399803,10000000000.0,-10000000000.0,0.0009741783142089844
Recommendation,1.0,0.48570099861846244,0.46411110127393285,2.9428039944738495,4694.699902611936,10000000000.0,-10000000000.0,0.0006465911865234375
