Iteration_Step	Fidelity_BO	alpha_norm	th_W_ratio_norm	alpha_actual	th_W_ratio_actual	Objective_Negated	Objective_Actual	Execution_Time_s
Initial	0.0	0.19026457603225727	0.793871620306579	2.3683598721048362	0.00814484458275921	-38.606209104049654	38.606209104049654	146.70988512039185
Initial	0.0	0.8501072565571297	0.7185601306028135	4.512848583810672	0.0074670411754253225	-86.85046633368927	86.85046633368927	445.0496928691864
Initial	1.0	0.01979862414603667	0.636168827479604	1.8143455284746193	0.006725519447316437	-0.0009930445422133775	0.0009930445422133775	242.88709950447083
Initial	1.0	0.9798191402094367	0.5824249168920004	4.934412205680669	0.006241824252028004	-0.00038376108174242125	0.00038376108174242125	869.294469833374
Initial	1.0	0.896455550475826	0.3856165281646044	4.663480539046434	0.00447054875348144	-0.0006024838213654862	0.0006024838213654862	683.323539018631
Iter_1	1.0	0.29305368876035265	0.04273154304467557	2.702424488471146	0.0013845838874020802	-0.04388984985518111	0.04388984985518111	258.3562967777252
Iter_2	0.0	0.9203106720952136	0.48330154377238543	4.741009684309445	0.005349713893951469	-46.42361874261029	46.42361874261029	295.5733768939972
Iter_3	0.0	0.004122764623533688	0.7651607389431907	1.7633989850264844	0.007886446650488717	-54.296449168415215	54.296449168415215	110.33337450027466
Iter_4	0.0	0.026637241933263656	0.9759768585545514	1.836571036283107	0.009783791726990964	-65.54672375733352	65.54672375733352	165.2013738155365
Iter_5	0.0	0.06735585040383037	0.06791240527967905	1.9689065138124486	0.0016112116475171115	-1.6136291116124553	1.6136291116124553	43.09489870071411
Iter_6	0.0	0.11568283844680681	0.19068435456414057	2.1259692249521223	0.0027161591910772652	-4.192336985165661	4.192336985165661	56.92775630950928
Iter_7	0.0	0.3675105223059416	0.07558255480707876	2.94440919749431	0.0016802429932637089	10000000000.0	-10000000000.0	0.5779907703399658
Iter_8	0.0	0.4263582203476195	0.004719388932626115	3.135664216129763	0.001042474500393635	10000000000.0	-10000000000.0	0.010002374649047852
Iter_9	0.0	0.23564403871519438	0.5658197271213874	2.515843125824382	0.006092377544092488	10000000000.0	-10000000000.0	0.010002851486206055
Iter_10	0.0	0.5283736989946484	0.8682764035970206	3.467214521732607	0.008814487632373188	10000000000.0	-10000000000.0	0.008574962615966797
Recommendation_Model	1.0	0.3093639169871223	0.5019630804430281	2.755432730208147	0.005517667723987253	10000000000.0	-10000000000.0	0.010783672332763672
