% Model:              hyperelastic_stretching.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 20 2025, 03:06
% Table:              Table 1 - Global Evaluation 1
% Critical load factor (1) Eigenvalue (1)
2.8271823893713597         2.8271823893713597
2.8271952612388938         2.8271952612388938
4.213720008786551          4.213720008786551
4.213763208463682          4.213763208463682
5.850732340496534          5.850732340496534
5.8509000210030075         5.8509000210030075
7.7387354857559325         7.7387354857559325
7.7390206076399615         7.7390206076399615
9.881683250312507          9.881683250312507
9.882003015878343          9.882003015878343
